1,18,28
2,15,15
3,15,28
4,28,6
5,9,6
6,21,28
7,18,3
8,18,3
9,18,15
10,15,3
11,28,6
12,18,3
13,6,18
14,9,9
15,18,12
16,12,6
17,21,6
18,15,15
19,25,12
20,3,12
21,12,6
22,25,21
23,28,18
24,18,15
25,21,21
26,28,15
27,12,6
28,28,25
29,15,3
30,25,21
31,3,12
32,6,6
33,6,18
34,6,18
35,18,21
36,21,28
37,21,9
38,25,12
39,28,21
40,6,6
41,12,6
42,18,6
43,28,6
44,12,9
45,6,6
46,3,21
47,21,25
48,3,15
49,12,25
50,15,15
51,21,9
52,18,3
53,28,28
54,15,18
55,21,21
56,9,28
57,25,6
58,15,3
59,15,25
60,21,3
61,21,15
62,28,25
63,25,9
64,12,15
65,3,18
66,3,21
67,21,6
68,6,3
69,21,3
70,12,21
71,25,12
72,28,18
73,9,15
74,3,6
75,6,28
76,9,12
77,25,9
78,28,9
79,9,6
80,9,25
81,25,25
82,25,18
83,3,6
84,6,12
85,15,6
86,28,18
87,15,28
88,15,21
89,28,28
90,25,25
91,6,12
92,9,6
93,28,21
94,21,3
95,18,25
96,21,25
97,6,21
98,12,18
99,28,28
100,3,21
