1,24,27
2,18,27
3,3,18
4,24,12
5,9,9
6,3,18
7,12,3
8,3,15
9,24,27
10,12,21
11,18,24
12,24,18
13,18,3
14,24,15
15,18,18
16,18,24
17,21,12
18,3,9
19,12,9
20,21,12
21,24,6
22,21,18
23,27,6
24,15,27
25,24,27
26,6,27
27,24,27
28,24,27
29,18,6
30,18,9
31,9,21
32,24,6
33,21,15
34,24,6
35,9,18
36,15,21
37,6,21
38,18,21
39,6,3
40,9,21
41,24,18
42,12,24
43,9,18
44,9,6
45,27,9
46,3,21
47,6,3
48,3,12
49,18,12
50,12,12
51,3,15
52,21,12
53,18,24
54,15,18
55,3,15
56,9,12
57,24,15
58,3,18
59,21,24
60,24,24
61,9,24
62,18,21
63,24,21
64,24,27
65,27,15
66,12,3
67,12,24
68,12,6
69,3,18
70,21,3
71,3,12
72,21,24
73,6,6
74,3,12
75,18,3
76,27,18
77,12,3
78,9,12
79,18,24
80,6,18
81,15,27
82,15,6
83,9,24
84,12,15
85,18,3
86,27,21
87,6,15
88,21,27
89,21,18
90,18,27
91,21,9
92,18,9
93,15,21
94,9,15
95,15,27
96,21,21
97,18,15
98,24,21
99,27,6
100,18,27
