1,3,19
2,6,26
3,19,16
4,13,29
5,26,22
6,6,26
7,22,16
8,10,3
9,3,13
10,6,6
11,29,16
12,6,3
13,3,13
14,16,19
15,19,19
16,6,19
17,16,13
18,3,19
19,26,26
20,16,10
21,26,22
22,29,29
23,16,6
24,16,10
25,26,6
26,26,26
27,29,29
28,19,13
29,10,10
30,13,3
31,22,3
32,10,10
33,19,22
34,26,22
35,16,6
36,22,16
37,16,29
38,22,3
39,19,13
40,22,19
41,19,13
42,6,10
43,13,26
44,16,29
45,22,13
46,6,19
47,16,3
48,22,16
49,6,29
50,6,29
51,22,10
52,13,3
53,29,22
54,6,26
55,26,19
56,6,6
57,26,16
58,6,16
59,22,13
60,10,19
61,22,22
62,22,16
63,6,13
64,16,19
65,13,3
66,29,29
67,16,13
68,16,13
69,26,10
70,16,10
71,29,10
72,22,19
73,6,22
74,26,13
75,16,29
76,19,3
77,16,6
78,26,19
79,19,6
80,26,6
81,3,22
82,10,29
83,10,13
84,6,22
85,26,22
86,19,22
87,10,6
88,3,3
89,26,26
90,6,6
91,16,3
92,6,16
93,22,22
94,16,3
95,13,6
96,22,10
97,13,10
98,19,16
99,19,6
100,16,29
101,22,29
102,6,13
103,6,29
104,16,29
105,3,19
106,3,13
107,29,10
108,10,22
109,13,6
110,19,19
111,16,16
112,19,19
113,26,26
114,19,22
115,19,13
116,6,22
117,16,29
118,10,6
119,19,22
120,19,13
121,16,3
122,22,19
123,19,22
124,26,6
125,19,26
126,29,19
127,22,3
128,22,29
129,10,19
130,10,6
131,26,22
132,6,10
133,3,3
134,19,26
135,16,16
136,13,10
137,16,16
138,6,10
139,22,10
140,26,29
141,26,22
142,10,29
143,6,3
144,26,16
145,19,29
146,19,10
147,3,16
148,10,10
149,29,16
150,19,6
